Question,Choice,Deb,Barb,June,Owens,Woodburn,Reg,97,Canavan,Perry,Beaver,Mamba,Slim,Edmonds,Phoon,Gini,Laoch,Heath,Arg,Brinker,Midnight Rambler,Nina,launch
Spring break location,Lake Lure,4,-2,,3,,,3,,3,,,,,,,2,2,,,,,
,Daytona Beach,,,-2,,,3,,3,,3,,,,-2,3,-2,-2,-2,-2,-2,-2,
,Gainesville,,4,,,4,,,3,,,2,2,2,,,4,4,,,,,
,PCB,,,8,,,8,,8,,8,8,8,8,8,8,8,,8,,8,8,
Fav regatta,Charles,,2,,,3,,3,,,,4,,4,,,,,,,,,
,Hooch,2,2,4,,,2,2,2,,2,2,,,4,2,,,4,,,,
,HOTS,,,,,,,,,,,,,,,,3,3,,3,5,,
,SIRA,3,3,3,,,,3,3,,3,,,,,,,,,,,,
,Vails,,,3,,,3,,3,,3,3,,3,3,3,,,,,,,
,ACRA,,,,3,3,,,,3,,,3,,,,,3,,3,,,
I prefer...,morning practice,3,3,,,3,,3,3,3,,,3,,3,3,3,3,,,,,
,afternoon practice,,,3,3,,3,,,,3,3,,3,,,,,3,3,3,3,
I chill by the...,trailer,,,,,,,,,3,,,,,,,3,3,3,4,4,4,
,tent,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,,,,,,,
"In the boat, I'm…",hooting and hollering,,3,,3,,,3,,,,,,3,,,,,,,,,
,moaning and groaning,3,,,,,,,3,,,,3,,,,,,,,,,
,just enjoying the view,,,,,,3,,,,3,3,,,3,3,,,,,,,
,locked in,,,3,,3,,,,3,,,,,,,3,3,3,4,4,4,
Urban dictionary or Merriam Webster?,Urban dictionary,,,,,,,3,4,,,,,,,,,,,,,,
,Merriam-Webster,,,,,,,,,,,,,,,,,,,,,,
I prefer...,2ks,,,3,,,3,,,3,,,3,,,3,,,3,,,4,
,5ks,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,3,3,,
I wear...,uni,,,,,,,3,3,3,3,3,3,3,3,,,,3,3,3,,
,two piece,3,3,3,3,3,3,,,,,,,,,3,3,3,,,,3,
,one article of clothing only,,,,,,,,3,,,,,,,,,,,,4,,
Follow car or trailer?,Follow car,3,,3,,,3,3,,,3,3,,,3,3,,,3,3,3,,
,Trailer,,3,,3,3,,,3,3,,,3,,,,3,3,,,,3,
I'm a...,port,3,3,3,3,3,3,3,3,3,,3,3,3,,3,,,,,,,
,starboard,,,,,,3,,,,3,,,,3,,3,,,,,,
,wdym I scull,,,,,,,,,,,,,,,,,5,5,5,,5,
I'd rather do...,jumpees,,3,,,,,3,3,3,,4,3,4,3,,,,,,,,
,core circuit,3,,3,3,3,,,,,,,,,,3,,,,,,,
If we hit a sandbar…,I get out and push the boat off,,,,3,3,,,,,,,3,3,3,3,,,,,,,
,I let bow pair push me,3,3,3,,,3,3,3,3,3,3,,,,,,,,,,,
,Where is the skegg??,,,,,,,4,,,,,,,,,,,,,,,
,We hit a sandbar?,,,,,,,,,,5,,,,,,5,,,,,,
Pick a rate:,16,3,,,,,,,3,,,,,,,,,,,,,,
,18,,,,,,,,,,,,3,,,,,,,,,,
,24,,,,,3,,,,,,,,3,,,3,,,,3,3,
,30,,,,,,,,,,,3,,,,,,3,3,3,,,
,36,,3,,4,,,4,,3,,,,,,,,,,,,,
,Whatever rate I'm at,,,3,,,3,,,,3,,,,3,3,,,,,,,
Seat race format?,Matrix,,,,3,3,,,,3,,,3,3,3,3,,,,,,,
,Swaps,3,3,3,,,3,3,3,,3,3,,,,,,,,,,,
My fundraising plan for GT Crew:,Alumni gala,,,,,3,,,,,,,,3,,,3,3,,,,,
,Rent a rower,,,3,,,3,,,,,,3,,,,,,,3,,,
,Bake sale,,,,3,,,,,,3,3,,,,3,,,,,,,
,Going to Vegas,,,,,,,3,3,,,,,,,,,,,,,,
,My mom pays my dues,3,3,,,,,,,3,,,,,,,,,,,,3,
What part of the launch do you carry?,Front,,,,3,,,,,,3,3,,,,,,,3,,3,,
,Engine side,,,,,,,3,3,,,,3,3,,,,3,,3,,,
,Non engine side,,,,,3,,,,3,,,,,3,3,3,,,,,,
,Back,3,3,,3,,,,,,,,,,,,,,,,,,
,That's someone else's problem,,,,,,0,,,,,,,,,,,,,,,0,200
2k music choice,EDM,,,,3,,,,,3,,,,,,,,3,,,,,
,Rap,,,,,,,,,,3,3,3,,,,,,,,,,
,Country,,,,,,,3,,,,,,,3,3,,,,3,3,,
,Dad rock,,,,,,3,,,,,,,,,,,,,,,,
,Pop,3,3,,,,,,,,,,,3,,,3,,,,,,
,The voices in my head,,,3,,3,,,3,,,,,,,,,,3,,,3,
I'd rather...,go to C finals,3,,3,,3,3,,3,,3,3,3,3,3,3,3,3,3,4,4,4,
,get beaten by SA middle schoolers in a scrimmage,,3,,3,,,3,,3,,,,,,,,,,,,,
Have you been injured this season?,Never,,,,,,,,,,,,,,,,3,,,,,,
,Rowing induced,,,4,,,,,,,,,,,4,,,,,,,,
,Non rowing induced,,,,,,,,,3,3,3,,,,,,,,,3,,
Did you row in high school?,Yes,3,3,,3,3,,3,3,3,,,3,,,,3,3,3,3,3,,
,No,,,3,,,3,,,,3,3,,3,3,3,,,,,,,
Regular or reverse pick drill?,Regular,,,,,,,3,3,3,3,3,3,3,,,,,,,,,
,Reverse,3,3,3,3,3,3,,,,,,,,,3,,,,,,,
,The race is the warmup,,,,,,,,,,,,,,,,3,3,3,4,4,4,
